Id,Name,Mode,StateCode,StatusCode,Category,BaseEntity,SolutionName
e06f6b53-db6f-e911-a956-000d3a3b9316,CNS-CNE Program Level - Degree Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
8ee70f54-db6f-e911-a955-000d3a3b9b3d,CNS-CNE Program Version - Program Version Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
df514558-db6f-e911-a958-000d3a3b9cd8,CNS-CNE Shift - Shift Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
ecd3ac56-db6f-e911-a95a-000d3a3b9a2b,CNS-CNE Start Date - Program Version Detail Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
c9bafc59-db6f-e911-a959-000d3a3b9774,CNS-CNE Student - Contact Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
413fe5a0-c78d-e911-a854-000d3a372186,CNS-CNE Student Enrollment Period - Enrollment Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
03a13b20-da71-e911-a955-000d3a3b9b3d,CNS-CNE Student Enrollment Term Summary - Academic Period Details Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
1c91104e-db6f-e911-a955-000d3a3b9b3d,CNS-CNE Student Extracurricular Activities - Extracurricular Participant Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
78639de3-e76f-e911-a958-000d3a3b9cd8,CNS-CNE Student Previous Education - Previous Education Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
4d650242-db6f-e911-a955-000d3a3b9b3d,CNS-CNE Student Relationship Address - Address Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
7d3e583c-db6f-e911-a95a-000d3a3b9a2b,CNS-CNE Term - Academic Period Integration (Engage),Background,Activated, Activated,Flow,none,CampusManagementStudentIntegration_Managed
0f392009-c1d2-43de-844b-d6dff7838522,CreateOrUpdateStaffSurveyQuestionResponse,Background,Activated, Activated,Action,cmc_staffsurvey,CampusManagementSucceed_Managed
1a86bed6-e5a9-435f-bd3c-75bb7437794a,CreateStaffSurveyFromStaffSurveyTemplate,Background,Activated, Activated,Action,cmc_staffsurveytemplate,CampusManagementSucceed_Managed
dd4bb9be-e19f-43b6-a115-ec89018d0e50,CreateUpdateStaffSurveyQuestionResponses,Background,Activated, Activated,Action,cmc_staffsurvey,CampusManagementSucceed_Managed
f01a0246-e93b-e811-a959-000d3af28b57,Form_DueDateCalculation,Real-time,Activated, Activated,BusinessRule,cmc_staffsurveytemplate,CampusManagementSucceed_Managed
2903f285-9f44-e811-a95c-000d3af28a0d,Form_Show Validation Message,Real-time,Activated, Activated,BusinessRule,cmc_staffsurveytemplate,CampusManagementSucceed_Managed
83f3ff3a-c33b-e811-a959-000d3af28673,Form_StartDateCalculation,Real-time,Activated, Activated,BusinessRule,cmc_staffsurveytemplate,CampusManagementSucceed_Managed
42f2545e-e8bd-408a-8411-c2edc42e9d7b,StaffSurveyTemplate - CopyStaffSurveyTemplate,Background,Activated, Activated,Action,cmc_staffsurveytemplate,CampusManagementSucceed_Managed
e6821a20-ab8c-431f-8d53-db96629ce28a,Survey Template Create Questions,Background,Activated, Activated,Action,cmc_staffsurveytemplate,CampusManagementSucceed_Managed
bcac1af4-40b0-4cfb-b9aa-b7404f00e25a,Academic Period Detail - Auto Name,Real-time,Activated, Activated,Workflow,mshied_academicperioddetails,CampusManagement_Managed
7b915df0-6744-4d4c-be7d-aaeb3e348fa2,Activate Student Groups,Background,Activated, Activated,Action,none,CampusManagement_Managed
e762eff6-4441-48d8-8106-0edadb2d1484,ApplicationAutoName,Real-time,Activated, Activated,Workflow,cmc_application,CampusManagement_Managed
99980cca-6685-41f4-9cf4-7cb49f631590,ApplicationPeriodProgamAutoName,Real-time,Activated, Activated,Workflow,cmc_applicationperiodprogam,CampusManagement_Managed
7bcd741f-b330-43b7-9da3-51a7f2c674bc,Application Recommendation Definition Detail - Auto Name,Real-time,Activated, Activated,Workflow,cmc_recommendationdefinitiondetail,CampusManagement_Managed
1ecde190-bd15-4d2e-aeb4-334632d1b073,ApplicationRegistrationAutoName,Real-time,Activated, Activated,Workflow,cmc_applicationregistration,CampusManagement_Managed
e2d36df7-7fdb-4c01-9528-6cfab27b9531,ApplicationReqiurementAutoName,Real-time,Activated, Activated,Workflow,cmc_applicationrequirement,CampusManagement_Managed
927e373c-9ae6-e811-a95c-000d3a3acbf2,Application Requirement Definition Detail - lock name field,Real-time,Activated, Activated,BusinessRule,cmc_applicationrequirementdefinitiondetail,CampusManagement_Managed
f50fd655-6ce6-41ec-8623-6b97942c89d1,Appointment - Decline Invite,Background,Activated, Activated,Action,Appointment,CampusManagement_Managed
f9449dab-34c8-4ff2-95e2-9f05a8dd1df3,Appointment - Location Auto Name,Real-time,Activated, Activated,Workflow,Appointment,CampusManagement_Managed
392c6623-adef-48b7-b4ab-128e53b23e3b,Build Attributes Display,Background,Activated, Activated,Action,none,CampusManagement_Managed
fb23f5f4-f7ba-489d-a369-15e03fd04a68,Check Duplicate Success Network,Background,Activated, Activated,Action,none,CampusManagement_Managed
245434f1-d47d-4322-90bf-4c6a68f8a420,CMC_AutoCreateStudentSuccessNetwork,Real-time,Activated, Activated,Workflow,Contact,CampusManagement_Managed
6e3fc85f-2f2b-4ee0-9115-292cb5881e0e,cmc_RecInviteWorkflow,Background,Activated, Activated,Workflow,cmc_applicationrecommendation,CampusManagement_Managed
2bb8eea7-2250-4e8b-91db-c922ca571fea,Complete or Cancel Trip,Background,Activated, Activated,Action,none,CampusManagement_Managed
f99d1a29-9c20-e811-a95d-000d3a11ec14,Condition Type is Begins With or Equals,Real-time,Activated, Activated,BusinessRule,cmc_domdefinitionlogic,CampusManagement_Managed
c517f133-a774-e811-a954-000d3a3acde0,Condition Type is Blank,Real-time,Activated, Activated,BusinessRule,cmc_domdefinitionlogic,CampusManagement_Managed
aee1e5f0-e45e-e811-a957-000d3a18c23c,Condition Type is Null or Not Null,Real-time,Activated, Activated,BusinessRule,cmc_domdefinitionlogic,CampusManagement_Managed
93ffd7d0-5b21-e811-a95f-000d3a11f5ee,Condition Type is Range,Real-time,Activated, Activated,BusinessRule,cmc_domdefinitionlogic,CampusManagement_Managed
66d69836-5c21-e811-a95f-000d3a11f5ee,Condition Type is Record Owner,Real-time,Activated, Activated,BusinessRule,cmc_domdefinitionlogic,CampusManagement_Managed
2b3b2e16-d830-483f-b7c0-ce6d622aa993,Contact - Create Inbound Interest,Background,Activated, Activated,Workflow,Contact,CampusManagement_Managed
4e5b8f83-0447-44b1-b9b0-920c482f7989,Contact - Update Preferences if Deceased,Real-time,Activated, Activated,Workflow,Contact,CampusManagement_Managed
fa708ecc-98e4-4964-a1e8-996ab6df4450,Course History - Auto Name,Real-time,Activated, Activated,Workflow,mshied_coursehistory,CampusManagement_Managed
